DATE;BOGMBASEW
1976-01-07;113805
1976-01-14;112209
1976-01-21;111901
1976-01-28;110414
1976-02-04;110456
1976-02-11;109751
1976-02-18;111417
1976-02-25;110550
1976-03-03;110582
1976-03-10;110162
1976-03-17;111433
1976-03-24;111828
1976-03-31;111886
1976-04-07;111669
1976-04-14;112644
1976-04-21;114434
1976-04-28;113341
1976-05-05;114090
1976-05-12;112798
1976-05-19;113946
1976-05-26;113409
1976-06-02;113807
1976-06-09;113572
1976-06-16;114823
1976-06-23;114412
1976-06-30;115009
1976-07-07;115458
1976-07-14;115386
1976-07-21;116440
1976-07-28;115020
1976-08-04;115606
1976-08-11;114912
1976-08-18;116270
1976-08-25;115642
1976-09-01;115220
1976-09-08;115135
1976-09-15;115687
1976-09-22;115877
1976-09-29;115595
1976-10-06;115913
1976-10-13;115886
1976-10-20;117697
1976-10-27;116409
1976-11-03;116936
1976-11-10;116844
1976-11-17;118953
1976-11-24;118941
1976-12-01;119387
1976-12-08;118782
1976-12-15;120115
1976-12-22;120910
1976-12-29;121421
1977-01-05;121227
1977-01-12;120088
1977-01-19;120157
1977-01-26;119088
1977-02-02;117705
1977-02-09;117378
1977-02-16;117898
1977-02-23;118340
1977-03-02;117637
1977-03-09;117653
1977-03-16;118560
1977-03-23;119462
1977-03-30;119419
1977-04-06;119352
1977-04-13;119895
1977-04-20;121989
1977-04-27;120950
1977-05-04;121140
1977-05-11;120560
1977-05-18;121507
1977-05-25;120613
1977-06-01;121171
1977-06-08;120851
1977-06-15;121498
1977-06-22;122291
1977-06-29;122355
1977-07-06;123974
1977-07-13;123551
1977-07-20;125208
1977-07-27;123488
1977-08-03;124308
1977-08-10;123755
1977-08-17;124644
1977-08-24;124271
1977-08-31;123994
1977-09-07;124017
1977-09-14;124426
1977-09-21;124839
1977-09-28;124166
1977-10-05;125308
1977-10-12;124601
1977-10-19;126903
1977-10-26;125910
1977-11-02;125956
1977-11-09;126208
1977-11-16;127835
1977-11-23;128559
1977-11-30;128296
1977-12-07;128122
1977-12-14;128903
1977-12-21;130541
1977-12-28;131057
1978-01-04;132336
1978-01-11;130807
1978-01-18;131242
1978-01-25;129091
1978-02-01;128205
1978-02-08;128280
1978-02-15;128741
1978-02-22;129482
1978-03-01;128174
1978-03-08;127989
1978-03-15;128432
1978-03-22;129936
1978-03-29;129875
1978-04-05;130312
1978-04-12;129887
1978-04-19;132380
1978-04-26;131384
1978-05-03;132048
1978-05-10;131775
1978-05-17;132668
1978-05-24;132163
1978-05-31;132501
1978-06-07;132313
1978-06-14;133433
1978-06-21;134347
1978-06-28;133619
1978-07-05;136098
1978-07-12;134639
1978-07-19;137693
1978-07-26;135123
1978-08-02;134853
1978-08-09;134295
1978-08-16;135490
1978-08-23;135757
1978-08-30;135304
1978-09-06;135832
1978-09-13;135741
1978-09-20;136672
1978-09-27;136246
1978-10-04;136901
1978-10-11;136822
1978-10-18;138521
1978-10-25;137858
1978-11-01;137454
1978-11-08;137663
1978-11-15;138596
1978-11-22;143392
1978-11-29;143365
1978-12-06;143458
1978-12-13;143048
1978-12-20;145090
1978-12-27;145458
1979-01-03;147608
1979-01-10;145038
1979-01-17;145457
1979-01-24;143250
1979-01-31;142160
1979-02-07;141405
1979-02-14;141212
1979-02-21;142733
1979-02-28;141073
1979-03-07;141989
1979-03-14;141562
1979-03-21;143287
1979-03-28;141980
1979-04-04;143118
1979-04-11;142747
1979-04-18;145653
1979-04-25;145054
1979-05-02;145129
1979-05-09;143978
1979-05-16;144700
1979-05-23;144532
1979-05-30;144522
1979-06-06;144925
1979-06-13;144903
1979-06-20;146707
1979-06-27;145979
1979-07-04;148004
1979-07-11;146961
1979-07-18;149440
1979-07-25;148364
1979-08-01;147810
1979-08-08;147530
1979-08-15;148524
1979-08-22;149297
1979-08-29;148799
1979-09-05;149374
1979-09-12;148881
1979-09-19;150141
1979-09-26;149513
1979-10-03;150234
1979-10-10;150234
1979-10-17;152296
1979-10-24;151737
